Account Manager,Rep Name,Account Number,Name,Address,Subscription Date,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Modem Age,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Churn Date,Latitude,Longitude,Postal Code,Region
86-3601877,Aniyah Delaney,6461-PPAXN,Eichmann-Zemlak,1 Ryan Circle,5/22/2017,No,Yes,Yes,17,Yes,No,DSL,Less than 1 Year,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),54.95,1916,No,,42.28923,-71.16489,2132,Massachusetts
16-0420024,Ariya Almond,3318-ISQFQ,Predovic-Greenfelder,434 Swallow Road,5/29/2016,No,No,No,29,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.5,413,No,,42.28915,-71.16441,2132,Massachusetts
50-8904668,Marsha Lester,1106-HRLKZ,"Skiles, DuBuque and Bode",3 Loeprich Plaza,6/11/2017,No,Yes,Yes,16,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,808.95,No,,42.28937,-71.16479,2132,Massachusetts
98-3691700,Dexter Dawe,2483-XSSMZ,"Green, Klocko and Smitham",652 Brown Drive,8/4/2017,No,No,No,14,Yes,No,DSL,Less than 1 Year,Yes,No,No,No,No,No,One year,Yes,Electronic check,47.85,1886.4,No,,42.2893,-71.16429,2132,Massachusetts
13-8653221,Ieuan Whittington,8603-IJWDN,Wolff-Koch,85 Macpherson Terrace,6/30/2017,No,No,No,16,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.6,86.6,No,,42.28963,-71.16464,2132,Massachusetts
20-9329110,Emil Webber,8165-ZJRNM,Leuschke-Jacobson,2 Transport Junction,7/16/2017,No,Yes,Yes,15,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.75,1679.25,No,,42.28944,-71.16421,2132,Massachusetts
47-2963605,Jaimee Vance,9369-XFEHK,"Pouros, Kilback and Bauch",34594 Carpenter Plaza,5/27/2017,Yes,Yes,No,17,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,No,,42.28975,-71.16453,2132,Massachusetts
10-8807007,Alec Wilks,2604-XVDAM,Schmeler-McGlynn,532 Morning Hill,6/9/2017,No,No,No,16,Yes,No,DSL,Less than 1 Year,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),43.8,540.95,No,,42.28959,-71.16412,2132,Massachusetts
75-8051982,Hollie Conway,3717-OFRTN,Doyle-Stokes,18 Bay Avenue,4/27/2017,No,No,No,18,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.75,19.75,No,,42.28988,-71.16444,2132,Massachusetts
42-3903575,Claudia Todd,9046-JBFWA,Jacobson Group,99717 Anniversary Junction,6/22/2017,No,No,Yes,16,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.15,537.35,No,,42.28973,-71.16404,2132,Massachusetts
52-1146363,Tori Prentice,3280-NMUVX,Hammes-Brekke,640 Pennsylvania Point,6/7/2016,No,Yes,Yes,28,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.6,678.8,No,,42.28987,-71.16395,2132,Massachusetts
16-0420024,Ariya Almond,1206-EHBDD,Kling-Bergstrom,5389 Merrick Point,3/2/2017,No,Yes,No,18,Yes,No,Fiber optic,1 - 2 Years,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),80.3,4513.65,Yes,9/30/2018,42.29001,-71.16384,2132,Massachusetts
13-8653221,Ieuan Whittington,8361-LBRDI,Kuhn Group,021 Cambridge Plaza,8/16/2017,No,No,No,14,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.35,1423.85,No,,42.29,-71.16431,2132,Massachusetts
10-4398098,Nyah O'Neill,4883-KCPZJ,Blick LLC,59 Saint Paul Parkway,3/3/2017,No,Yes,Yes,19,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.25,555.4,No,,42.29015,-71.16373,2132,Massachusetts
50-8904668,Marsha Lester,9108-EQPNQ,"Moen, Schiller and Goodwin",78847 6th Terrace,8/7/2017,No,Yes,Yes,14,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.1,225.55,No,,42.28815,-71.16536,2132,Massachusetts
16-0420024,Ariya Almond,7277-KAMWT,"Hauck, Sipes and Ledner",67644 Cordelia Place,8/6/2017,No,No,No,14,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20,268.45,No,,42.290329,-71.164109,2132,Massachusetts
42-3903575,Claudia Todd,3842-IYKUE,Mueller-Predovic,53 Meadow Vale Court,6/5/2017,No,No,No,16,Yes,Yes,Fiber optic,Less than 1 Year,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),85.3,2917.5,No,,42.29027,-71.16365,2132,Massachusetts
57-1199545,Braydon Farrington,6641-XRPSU,"Glover, Williamson and Murray",23174 Longview Road,2/20/2018,No,No,No,8,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70,2416.1,No,,42.29045,-71.16402,2132,Illinois
76-0195839,Rhia Frame,1374-DMZUI,"Walsh, Parisian and Roob",64 Continental Road,3/12/2017,Yes,No,No,19,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,No,,42.29039,-71.16356,2132,Massachusetts
82-7808716,Laila Moses,2545-LXYVJ,Schultz-Morissette,155 Bartelt Parkway,7/2/2017,No,Yes,No,16,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.7,1492.1,No,,42.29061,-71.16391,2132,Massachusetts
51-3249481,Abdur-Rahman Glenn,3234-VKACU,Howell-Hagenes,6 Jenifer Crossing,6/12/2016,No,No,No,28,Yes,No,DSL,Less than 1 Year,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,70.3,132.4,No,,42.29076,-71.16381,2132,Massachusetts
76-0195839,Rhia Frame,8357-EQXFO,Lucky Croot,51 Artisan Hill,8/6/2017,No,No,No,14,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,660.9,No,,42.29083,-71.16331,2132,Massachusetts
76-0195839,Rhia Frame,1989-PRJHP,Ninnetta Sidle,49 Coolidge Terrace,4/16/2017,Yes,Yes,No,18,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.95,No,,42.29101,-71.16316,2132,Massachusetts
17-1938812,Eloise Broadhurst,8120-JDCAM,Annamaria Bromley,5 Becker Parkway,1/30/2017,No,Yes,Yes,20,Yes,No,Fiber optic,New,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.55,284.9,Yes,9/30/2018,42.38544,-71.01728,2128,Massachusetts
47-2963605,Jaimee Vance,8917-FAEMR,Talyah Maynard,89 Fairfield Center,4/22/2017,No,No,No,18,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.85,784.25,No,,42.38544,-71.01728,2128,Massachusetts
42-3903575,Claudia Todd,7047-YXDMZ,Rudolph Burstowe,485 Kenwood Pass,1/31/2017,No,No,No,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20,417.7,Yes,9/30/2018,42.38544,-71.01728,2128,Massachusetts
10-8807007,Alec Wilks,2858-EIMXH,Ly Kubu,24145 Oak Junction,4/15/2017,Yes,Yes,No,18,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.85,5016.25,No,,42.38541,-71.01708,2128,Massachusetts
52-1146363,Tori Prentice,9524-EGPJC,Arlan McAlarney,37830 Merchant Park,5/14/2017,No,No,No,17,Yes,Yes,Fiber optic,Less than 1 Year,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.1,1612.75,No,,42.38537,-71.01687,2128,Massachusetts
16-0420024,Ariya Almond,6993-OHLXR,Alexis Spurritt,4624 Starling Crossing,4/2/2017,No,No,No,19,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,No,Electronic check,68.95,119.75,No,,42.38533,-71.0167,2128,Massachusetts
98-3691700,Dexter Dawe,8818-XYFCQ,Karoline Maton,493 Schiller Lane,5/1/2017,No,Yes,Yes,18,Yes,Yes,Fiber optic,Less than 1 Year,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,No,,42.38528,-71.01653,2128,Massachusetts
13-8653221,Ieuan Whittington,6419-ZTTLE,Berkley Strangeway,24533 Carioca Way,6/4/2017,Yes,Yes,No,16,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.75,485.2,No,,42.38526,-71.01644,2128,Massachusetts
73-9095501,Floyd Black,0929-HYQEW,Suzy Frenchum,1089 Kenwood Plaza,1/11/2017,No,No,No,20,Yes,No,DSL,New,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,160.85,Yes,9/30/2018,42.38505,-71.01603,2128,Massachusetts
66-9184652,Erika Rodriquez,6614-YOLAC,Dareen Besnard,778 Hoffman Trail,3/29/2017,No,Yes,Yes,19,No,No phone service,DSL,Less than 1 Year,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,58.65,4145.25,No,,42.38504,-71.01571,2128,Massachusetts
20-9329110,Emil Webber,7426-RHZGU,Antonia Arthur,31674 School Parkway,3/6/2017,No,No,No,19,Yes,No,Fiber optic,Less than 1 Year,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,No,,42.3858174,-71.0168448,2128,Massachusetts
58-8364238,Jenny Hancock,4065-JJAVA,Cissy Renton,5062 Melody Street,7/4/2016,No,No,No,27,Yes,No,DSL,Less than 1 Year,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.5,49.5,No,,42.384975,-71.015238,2128,Massachusetts
86-3601877,Aniyah Delaney,4695-VADHF,Neda Bru,8501 Truax Trail,9/7/2017,No,Yes,Yes,13,Yes,No,DSL,1 - 2 Years,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,No,,42.38576,-71.019,2128,Massachusetts
50-8904668,Marsha Lester,3863-IUBJR,Hetti Sallenger,677 Prairieview Drive,6/14/2017,No,Yes,Yes,16,Yes,No,DSL,Less than 1 Year,No,No,No,No,No,Yes,One year,No,Credit card (automatic),53.65,696.35,No,,42.38573,-71.01847,2128,Massachusetts
98-3691700,Dexter Dawe,7649-SIJJF,Ode McKain,7197 Hauk Terrace,6/16/2017,No,Yes,No,16,Yes,Yes,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,No,,42.385655,-71.018307,2128,Massachusetts
78-8973798,Jena Durham,9361-YNQWJ,Eddy Jarrette,2 Fairview Lane,1/9/2017,No,No,No,20,Yes,Yes,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.4,1601.2,Yes,9/30/2018,42.38561,-71.01805,2128,Massachusetts
17-1938812,Eloise Broadhurst,3748-FVMZZ,Berkley Fleg,258 Elmside Park,6/10/2017,No,No,No,16,No,No phone service,DSL,Less than 1 Year,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,40.05,162.45,No,,42.38561,-71.01805,2128,Massachusetts
57-1199545,Braydon Farrington,9391-TTOYH,Lucila Kembry,398 Moland Way,2/13/2017,No,No,No,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,470.2,Yes,9/30/2018,42.38561,-71.01805,2128,Massachusetts
86-3601877,Aniyah Delaney,1452-XRSJV,Aldin Christophersen,4 Clemons Parkway,1/21/2017,No,Yes,Yes,20,Yes,No,DSL,New,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.05,2066,Yes,9/30/2018,42.38555,-71.01783,2128,Massachusetts
58-8364238,Jenny Hancock,3422-WJOYD,Andreas Pasquale,28 Eagle Crest Hill,6/21/2016,No,Yes,No,28,Yes,No,DSL,Less than 1 Year,Yes,No,No,Yes,No,No,One year,No,Mailed check,54.35,1426.45,No,,42.38552,-71.01767,2128,Massachusetts
10-8807007,Alec Wilks,8242-SOQUO,Jameson Verry,16 Oak Valley Park,7/17/2017,Yes,No,No,15,Yes,No,Fiber optic,Less than 1 Year,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.7,392.5,No,,42.317766,-71.109466,2130,Massachusetts
50-8904668,Marsha Lester,7460-ITWWP,Ardelia Siley,0 Troy Trail,6/28/2017,Yes,Yes,No,16,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.1,3861.45,No,,42.31785,-71.10988,2130,Massachusetts
25-9781941,Cleo Frederick,7147-AYBAA,Guenevere Ranking,9 Stoughton Plaza,7/11/2017,No,No,No,15,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.35,2552.9,No,,42.31767,-71.10953,2130,Massachusetts
47-2963605,Jaimee Vance,7868-TMWMZ,Garv O'Giany,09 Old Shore Road,7/10/2017,Yes,Yes,No,15,Yes,No,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,6668.35,No,,42.317557,-71.109605,2130,Massachusetts
76-0195839,Rhia Frame,4822-RVYBB,Koralle Lincoln,348 Lindbergh Terrace,9/23/2017,Yes,No,No,13,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,No,,42.317732,-71.11001,2130,Massachusetts
13-8653221,Ieuan Whittington,6732-FZUGP,Leonidas Jodlkowski,95 West Alley,6/28/2016,No,No,No,1,Yes,Yes,Fiber optic,1 - 2 Years,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),94.9,4615.25,Yes,7/12/2016,42.317732,-71.11001,2130,Illinois
69-0108929,Kelsea Esquivel,8436-BJUMM,Deeann Bodiam,8 Butterfield Road,3/10/2017,No,Yes,Yes,6,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,2070.6,Yes,9/10/2017,42.317732,-71.11001,2130,Illinois
51-3249481,Abdur-Rahman Glenn,4184-TJFAN,Hastie Richards,499 Moose Hill,4/11/2017,Yes,Yes,Yes,18,Yes,No,Fiber optic,Less than 1 Year,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.3,273.75,No,,42.317732,-71.11001,2130,Massachusetts
10-4398098,Nyah O'Neill,8329-GWVPJ,Joshuah McCurt,697 Granby Hill,6/9/2017,No,Yes,Yes,16,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7,No,,42.317732,-71.11001,2130,Massachusetts
52-1146363,Tori Prentice,1352-VHKAJ,Jermayne Castelow,0141 Iowa Trail,6/11/2017,No,Yes,Yes,6,Yes,Yes,DSL,> 4 Years,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,Yes,12/31/2017,42.317732,-71.11001,2130,Illinois
17-1938812,Eloise Broadhurst,4145-UQXUQ,August Hain,71308 Forster Point,5/16/2017,Yes,No,No,17,Yes,No,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,No,,42.317583,-71.110103,2130,Massachusetts
69-0108929,Kelsea Esquivel,2632-TACXW,Jacquelynn Ferrick,448 Mesta Lane,2/27/2017,No,Yes,No,19,Yes,Yes,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.65,1416.75,Yes,9/30/2018,42.317583,-71.110103,2130,Massachusetts
58-8364238,Jenny Hancock,8146-QQKZH,Remy Michele,51487 Main Avenue,5/30/2016,No,Yes,No,1,Yes,No,DSL,1 - 2 Years,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.85,5924.4,Yes,7/12/2016,42.317583,-71.110103,2130,Illinois
98-3691700,Dexter Dawe,1767-CJKBA,Hershel Dumbar,8 Kings Avenue,3/17/2017,No,No,No,19,Yes,Yes,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,No,,42.317583,-71.110103,2130,Massachusetts
58-8364238,Jenny Hancock,6445-TNRXS,Towney Pinsent,045 Fremont Point,7/23/2017,No,Yes,Yes,15,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.7,7849.85,No,,42.317583,-71.110103,2130,Massachusetts
85-3745646,Shivani Costa,4581-LNWUM,Cora Gowan,23 Independence Crossing,7/11/2017,No,No,No,15,No,No phone service,DSL,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.15,649.4,No,,42.317583,-71.110103,2130,Massachusetts
13-8653221,Ieuan Whittington,4869-EPIUS,Chester Bernardino,66645 Magdeline Street,8/11/2017,No,Yes,No,14,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,Yes,One year,Yes,Electronic check,80.9,4557.5,No,,42.31741,-71.10969,2130,Massachusetts
98-3691700,Dexter Dawe,9948-YPTDG,Shelby Grundy,266 Florence Road,5/28/2017,No,Yes,No,6,Yes,No,Fiber optic,> 4 Years,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.45,3013.05,Yes,12/10/2017,41.0084319,-73.8390858,10502,Rhode Island
50-8904668,Marsha Lester,1236-WFCDV,Loralee Sidnall,94945 Dovetail Point,3/16/2017,Yes,No,No,5,Yes,No,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.45,1266.1,Yes,9/9/2017,41.0079705,-73.8447917,10502,Rhode Island
20-9329110,Emil Webber,1915-OAKWD,Alisha Soulsby,484 Chive Circle,6/4/2016,No,No,Yes,1,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.3,360.35,Yes,7/12/2016,41.010695,-73.8398296,10502,Rhode Island
57-1199545,Braydon Farrington,7296-PIXQY,Dyna Lanham,3 Prentice Trail,3/16/2017,No,Yes,Yes,19,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,1046.5,No,,41.0087374,-73.8463049,10502,New York
47-2963605,Jaimee Vance,4883-QICIH,Sandy Sends,47912 Spaight Street,5/21/2017,No,Yes,Yes,3,Yes,No,Fiber optic,> 4 Years,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.9,Yes,8/21/2017,41.0217258,-73.8347231,10502,Rhode Island
83-8467671,Naima Clements,3354-OADJP,Christos Northleigh,93036 Redwing Center,4/10/2017,No,No,No,18,Yes,No,DSL,Less than 1 Year,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),54.25,447.75,No,,41.0164704,-73.8389201,10502,New York
85-3745646,Shivani Costa,3524-WQDSG,Sonia Banaszczyk,05938 Mifflin Drive,7/13/2017,No,Yes,Yes,15,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95,No,,41.0069126,-73.8419453,10502,New York
78-8973798,Jena Durham,0810-DHDBD,Juan De Caroli,2 Northland Drive,2/6/2017,No,No,No,19,Yes,Yes,DSL,1 - 2 Years,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74,3877.65,Yes,9/30/2018,41.005548,-73.8368809,10502,New York
16-0420024,Ariya Almond,4026-SKKHW,Deeann Shoorbrooke,5 Talmadge Place,6/25/2016,No,No,No,1,Yes,No,DSL,> 4 Years,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.25,152.3,Yes,7/12/2016,41.0193976,-73.8391436,10502,Rhode Island
87-5056698,Carolyn Walmsley,2829-HYVZP,Nanice Lauxmann,5533 Pearson Crossing,1/31/2017,No,No,No,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.8,572.2,Yes,9/30/2018,41.0102421,-73.8473107,10502,New York
76-0195839,Rhia Frame,8329-IBCTI,Eolande Gregore,2 Spohn Trail,6/1/2017,No,No,No,3,Yes,No,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,19.65,Yes,9/11/2017,41.0079544,-73.8495316,10502,Rhode Island
77-4912526,Ishaaq Armitage,1271-SJBGZ,Nert Auchterlonie,54823 Menomonie Lane,5/31/2017,Yes,No,No,3,No,No phone service,DSL,1 - 2 Years,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.65,526.95,Yes,9/26/2017,41.0201749,-73.8370918,10502,Rhode Island
50-8904668,Marsha Lester,3845-JHAMY,Candida Dullard,975 Daystar Lane,4/21/2017,No,Yes,Yes,18,No,No phone service,DSL,Less than 1 Year,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),35.5,552.7,No,,41.0100352,-73.8372082,10502,New York
10-8807007,Alec Wilks,7013-PSXHK,Burke Spofford,63983 Golf View Road,3/4/2017,No,No,No,19,Yes,Yes,DSL,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,80.75,3208.65,No,,41.0086828,-73.8409284,10502,New York
61-8597757,Sonny Vega,5669-SRAIP,Pamella Packer,6898 Pankratz Crossing,6/12/2017,No,No,No,3,No,No phone service,DSL,1 - 2 Years,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,39.5,210.75,Yes,10/6/2017,41.0108034,-73.8351285,10502,Rhode Island
10-8807007,Alec Wilks,5981-ITEMU,Chaddy Mytton,78339 Chinook Pass,5/12/2018,No,Yes,No,1,Yes,Yes,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.1,3706.95,Yes,5/27/2018,41.006794,-73.8404899,10502,Rhode Island
20-9329110,Emil Webber,3486-NPGST,Tristam Androck,99 David Plaza,6/30/2016,No,No,No,1,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.55,620.75,Yes,7/12/2016,41.0090428,-73.8411579,10502,Rhode Island
42-3903575,Claudia Todd,6941-PMGEP,Florella Palleske,878 Chinook Park,1/3/2018,No,No,No,1,Yes,No,Fiber optic,> 4 Years,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80,412.5,Yes,1/6/2018,41.0179038,-73.8354712,10502,Rhode Island
66-9184652,Erika Rodriquez,1624-WOIWJ,Jonell Keave,284 Pepper Wood Circle,6/15/2017,No,No,No,16,Yes,No,Fiber optic,Less than 1 Year,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.7,832.05,No,,41.015979,-73.8432051,10502,New York
42-2956742,Rahim Glover,2074-GKOWZ,Barthel Radclyffe,16773 Cottonwood Way,2/23/2017,No,Yes,Yes,6,Yes,No,Fiber optic,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55,185.55,Yes,8/25/2017,41.0089538,-73.841433,10502,Rhode Island
61-8597757,Sonny Vega,0376-YMCJC,Maurice Yoakley,4886 Lukken Lane,1/23/2018,No,No,No,4,Yes,Yes,Fiber optic,> 4 Years,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.6,1943.2,Yes,6/11/2018,41.0100303,-73.8473529,10502,Rhode Island
58-8364238,Jenny Hancock,6100-FJZDG,Ruby Vigurs,85601 Mesta Avenue,2/10/2017,No,Yes,Yes,19,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,505.9,Yes,9/30/2018,41.0199474,-73.8395326,10502,New York
87-5056698,Carolyn Walmsley,4829-ZLJTK,Clotilda Tolmie,74 Stoughton Lane,8/10/2017,Yes,Yes,No,14,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,112.4,8046.85,No,,41.0088513,-73.8425908,10502,New York
82-7808716,Laila Moses,1730-VFMWO,Dusty Speaks,44476 Weeping Birch Drive,3/31/2017,No,Yes,No,19,Yes,No,DSL,Less than 1 Year,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),50.2,1815.3,No,,41.0091182,-73.8373528,10502,New York
98-3691700,Dexter Dawe,7143-BQIBA,Jeniffer Janowski,2 Twin Pines Avenue,8/21/2017,No,No,No,4,Yes,No,DSL,> 4 Years,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),62.25,612.95,Yes,12/31/2017,41.0075564,-73.848002,10502,Rhode Island
47-2963605,Jaimee Vance,3800-LYTRK,Elise Featherbie,66698 Oakridge Hill,6/18/2017,No,No,No,16,Yes,No,DSL,Less than 1 Year,Yes,No,No,Yes,No,No,One year,No,Mailed check,55.7,795.15,No,,41.0061489,-73.841398,10502,New York
75-8051982,Hollie Conway,0634-SZPQA,Mitch Rawlyns,97755 Waxwing Point,9/18/2017,No,No,No,5,Yes,Yes,Fiber optic,> 4 Years,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.05,2169.8,Yes,3/6/2018,41.0063015,-73.8502665,10502,Rhode Island
13-8653221,Ieuan Whittington,9646-NMHXE,Hasty Quinnet,67442 Prentice Crossing,5/28/2017,No,Yes,No,17,Yes,No,No,Less than 1 Year,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,973.1,No,,41.0051695,-73.8498262,10502,New York
66-9184652,Erika Rodriquez,7030-NJVDP,Wheeler Feye,91 Nova Road,6/5/2017,No,Yes,No,16,Yes,No,Fiber optic,Less than 1 Year,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.25,2210.2,No,,41.009058,-73.8436741,10502,New York
98-3691700,Dexter Dawe,5536-RTPWK,Rancell Coleson,282 Dottie Road,5/28/2017,No,Yes,No,1,Yes,Yes,Fiber optic,> 4 Years,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.05,4853.75,Yes,7/5/2017,41.0137364,-73.8473223,10522,Rhode Island
24-5250647,Derry Daniel,8883-GRDWQ,Aline Shakspeare,3 Summit Pass,7/23/2017,Yes,No,No,15,Yes,No,DSL,Less than 1 Year,Yes,No,No,Yes,No,No,One year,No,Mailed check,54,1055.9,No,,41.0056321,-73.8504638,10502,New York
